,Comp,File,Line,Spkr,StTime,Content,EnTime,inv
4.355,DCA,DCA_se2_ag1_f_05_1,24,DCA_se2_ag1_f_05,23.7379,"Um, one person be it,",25.3921,1
80.817,DCA,DCA_se2_ag1_f_05_1,376,DCA_se2_ag1_f_05,449.1514,and be playing around,450.0794,1
80.227,DCA,DCA_se2_ag1_f_05_1,390,DCA_se2_ag1_f_05,467.1102,"Or if the boys be out, then we be talking to them.",469.4229,1
132.192,DCA,DCA_se2_ag1_f_05_1,569,DCA_se2_ag1_f_05,700.6875,"And she get mad cause if it be a lot of children in the hall, she ask us do we know 'em?",704.3426,1
140.1154,DCA,DCA_se2_ag1_f_05_1,603,DCA_se2_ag1_f_05,741.2484,"Well I usually be with /RD-NAME-2/,",743.1278,1
144.516,DCA,DCA_se2_ag1_f_05_1,619,DCA_se2_ag1_f_05,760.1099,"/RD-NAME-2/ upstairs, and um, the little one upstairs. She be with us all the time.",764.3994,1
20213,DCA,DCA_se2_ag1_f_05_1,744,DCA_se2_ag1_f_05,957.8559,Mm-mm. <laugh> The children be screaming and hollering.,960.4242,1
251.43,DCA,DCA_se2_ag1_f_07_1,836,DCA_se2_ag1_f_07,1045.0963,"Oh, kids are so rowdy, you know. She be trying to- She has a little soft voice- She be trying to keep 'em quiet. She-",1050.9191,1
25310,DCA,DCA_se2_ag1_f_07_1,840,DCA_se2_ag1_f_07,1052.9288,"And they just be hollering- She be hollering over there, and they be hollering over her.",1056.5752,1
311.35,DCA,DCA_se2_ag1_f_07_1,998,DCA_se2_ag1_f_07,1303.3108,Not in the [group] I be in. [No.],1305.01,1
325.4,DCA,DCA_se2_ag1_f_07_1,1031,DCA_se2_ag1_f_07,1351.9869,"my associates that I be with, they don't live on my street.",1354.78,1
26.13,DCA,DCA_se2_ag1_m_01_1,93,DCA_se2_ag1_m_01,98.8517,Or you be playing three.,99.9055,1
324.37,DCA,DCA_se2_ag1_m_01_1,1535,DCA_se2_ag1_m_01,1631.3832,with- That be my mother and grandmother and sister and brothers.,1633.8686,1
338.131,DCA,DCA_se2_ag1_m_01_1,1609,DCA_se2_ag1_m_01,1711.5188,"Probably be the best dressed man, you know, in the-",1713.6868,1
107.313,DCA,DCA_se2_ag1_m_02_1,670,DCA_int_01,759.4864,How would they be hard on you?,760.85,1
24.228,DCA,DCA_se2_ag1_m_03_1,62,DCA_se2_ag1_m_03,67.9862,"Well it's a guy be in the center of you,",69.9586,1
24.413,DCA,DCA_se2_ag1_m_03_1,64,DCA_se2_ag1_m_03,70.559,and you be in the- in the rear of the center.,72.2423,1
