RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,white,eductation,10,male,1999-04-10,00:06:37.860,"Why do you think that you are the way you are,"
0,white,eductation,10,male,1999-04-10,00:06:41.890,G. SMITH:  I think I've been given a special gift from God.
0,white,eductation,10,male,1999-04-10,00:06:44.100,"I don't know why or how I've been given this gift,"
0,white,eductation,10,male,1999-04-10,00:06:46.660,but I want to use this gift to the best of my abilities
0,white,eductation,10,male,1999-04-10,00:06:46.660,but I want to use this gift to the best of my abilities
0,white,eductation,10,male,1999-04-10,00:06:52.270,"Janet and Bob, say they knew the time would"
0,white,eductation,10,male,1999-04-10,00:06:52.270,"Janet and Bob, say they knew the time would"
0,white,eductation,10,male,1999-04-10,00:06:54.010,come when their son's intellectual
0,white,eductation,10,male,1999-04-10,00:06:55.670,ability would surpass theirs.
0,white,eductation,10,male,1999-04-10,00:06:57.280,They just didn't dream it would be when he was
0,white,eductation,10,male,1999-04-10,00:07:03.710,This is your only child.
0,white,eductation,10,male,1999-04-10,00:07:12.760,and I was buying the books that you could find
0,white,eductation,10,male,1999-04-10,00:07:12.760,and I was buying the books that you could find
0,white,eductation,10,male,1999-04-10,00:07:14.730,in the stores about what they're supposed
0,white,eductation,10,male,1999-04-10,00:07:14.730,in the stores about what they're supposed
0,white,eductation,10,male,1999-04-10,00:07:16.130,"to do at three months and six months and,"
0,white,eductation,10,male,1999-04-10,00:07:18.260,"`boy, he can already do this.'"
0,white,eductation,10,male,1999-04-10,00:07:20.600,And--so we've tried to ad lib the best we could.
0,white,eductation,10,male,1999-04-10,00:07:24.300,"WINFREY:  Was there a moment when you said to Bob,"
0,white,eductation,10,male,1999-04-10,00:07:26.070,"`I think--I think he's, you know,"
0,white,eductation,10,male,1999-04-10,00:07:26.070,"`I think--I think he's, you know,"
0,white,eductation,10,male,1999-04-10,00:07:32.470,Mr. BOB SMITH:  We knew that--from the time that he was
0,white,eductation,10,male,1999-04-10,00:07:32.470,Mr. BOB SMITH:  We knew that--from the time that he was
0,white,eductation,10,male,1999-04-10,00:07:32.470,Mr. BOB SMITH:  We knew that--from the time that he was
0,white,eductation,10,male,1999-04-10,00:07:34.540,a baby because of his focus on things.
0,white,eductation,10,male,1999-04-10,00:07:37.710,and focus more than the average infant.
0,white,eductation,10,male,1999-04-10,00:07:37.710,and focus more than the average infant.
0,white,eductation,10,male,1999-04-10,00:07:39.850,Mr. SMITH:  We knew there was something else there.
